sample_id,pattern,approved,label_override,status_override,review_notes,reviewer
AAPL_20250228_120,head_and_shoulders,,,,,
AAPL_20250228_120,double_bottom,,,,,
AAPL_20250228_120,inv_head_and_shoulders,,,,,
AAPL_20250307_120,head_and_shoulders,,,,,
AAPL_20250307_120,inv_head_and_shoulders,,,,,
AAPL_20250314_120,double_top,,,,,
AAPL_20250314_120,head_and_shoulders,,,,,
AAPL_20250314_120,inv_head_and_shoulders,,,,,
AAPL_20250321_120,double_top,,,,,
AAPL_20250321_120,bull_flag,,,,,
AAPL_20250321_120,head_and_shoulders,,,,,
AAPL_20250321_120,inv_head_and_shoulders,,,,,
AAPL_20250328_120,double_top,,,,,
AAPL_20250328_120,head_and_shoulders,,,,,
AAPL_20250328_120,inv_head_and_shoulders,,,,,
AAPL_20250404_120,double_top,,,,,
AAPL_20250404_120,falling_wedge,,,,,
AAPL_20250404_120,inv_head_and_shoulders,,,,,
AAPL_20250411_120,double_top,,,,,
AAPL_20250421_120,double_top,,,,,
AAPL_20250428_120,double_top,,,,,
AAPL_20250505_120,double_top,,,,,
AAPL_20250512_120,falling_wedge,,,,,
AAPL_20250512_120,double_top,,,,,
AAPL_20250519_120,falling_wedge,,,,,
AAPL_20250519_120,double_top,,,,,
AAPL_20250519_120,inv_head_and_shoulders,,,,,
AAPL_20250527_120,falling_wedge,,,,,
AAPL_20250527_120,double_top,,,,,
AAPL_20250527_120,inv_head_and_shoulders,,,,,
AAPL_20250603_120,double_top,,,,,
AAPL_20250603_120,inv_head_and_shoulders,,,,,
AAPL_20250610_120,rising_wedge,,,,,
AAPL_20250610_120,double_top,,,,,
AAPL_20250610_120,inv_head_and_shoulders,,,,,
AAPL_20250617_120,falling_wedge,,,,,
AAPL_20250617_120,symmetrical_triangle,,,,,
AAPL_20250617_120,inv_head_and_shoulders,,,,,
AAPL_20250625_120,falling_wedge,,,,,
AAPL_20250625_120,symmetrical_triangle,,,,,
AAPL_20250625_120,inv_head_and_shoulders,,,,,
AAPL_20250702_120,symmetrical_triangle,,,,,
AAPL_20250702_120,inv_head_and_shoulders,,,,,
AAPL_20250710_120,inv_head_and_shoulders,,,,,
AAPL_20250717_120,bear_flag,,,,,
AAPL_20250717_120,inv_head_and_shoulders,,,,,
AAPL_20250724_120,rising_wedge,,,,,
AAPL_20250724_120,bear_flag,,,,,
AAPL_20250724_120,inv_head_and_shoulders,,,,,
AAPL_20250731_120,rising_wedge,,,,,
AAPL_20250731_120,inv_head_and_shoulders,,,,,
AAPL_20250807_120,double_bottom,,,,,
AAPL_20250807_120,inv_head_and_shoulders,,,,,
AAPL_20250814_120,double_bottom,,,,,
AAPL_20250814_120,inv_head_and_shoulders,,,,,
AAPL_20250821_120,double_bottom,,,,,
AAPL_20250821_120,inv_head_and_shoulders,,,,,
AAPL_20250828_120,double_bottom,,,,,
AAPL_20250905_120,double_bottom,,,,,
AAPL_20250912_120,double_bottom,,,,,
AAPL_20250919_120,double_bottom,,,,,
AAPL_20250926_120,double_bottom,,,,,
AAPL_20250926_120,bear_flag,,,,,
AAPL_20251003_120,rising_wedge,,,,,
AAPL_20251003_120,double_bottom,,,,,
AAPL_20251010_120,double_bottom,,,,,
AAPL_20251010_120,bear_flag,,,,,
AAPL_20251114_120,bear_flag,,,,,
AAPL_20251208_120,rising_wedge,,,,,
AAPL_20251230_120,rising_wedge,,,,,
AAPL_20251230_120,bull_flag,,,,,
AAPL_20260107_120,bull_flag,,,,,
AAPL_20260114_120,falling_wedge,,,,,
MSFT_20250228_120,head_and_shoulders,,,,,
MSFT_20250228_120,double_top,,,,,
MSFT_20250228_120,bull_flag,,,,,
MSFT_20250307_120,head_and_shoulders,,,,,
MSFT_20250307_120,double_top,,,,,
MSFT_20250314_120,head_and_shoulders,,,,,
MSFT_20250314_120,double_top,,,,,
MSFT_20250314_120,falling_wedge,,,,,
MSFT_20250321_120,head_and_shoulders,,,,,
MSFT_20250321_120,double_top,,,,,
MSFT_20250328_120,head_and_shoulders,,,,,
MSFT_20250328_120,double_top,,,,,
MSFT_20250328_120,falling_wedge,,,,,
MSFT_20250404_120,head_and_shoulders,,,,,
MSFT_20250404_120,double_top,,,,,
MSFT_20250411_120,head_and_shoulders,,,,,
MSFT_20250411_120,double_top,,,,,
MSFT_20250421_120,head_and_shoulders,,,,,
MSFT_20250421_120,double_top,,,,,
MSFT_20250428_120,head_and_shoulders,,,,,
MSFT_20250428_120,double_top,,,,,
MSFT_20250428_120,inv_head_and_shoulders,,,,,
MSFT_20250505_120,inv_head_and_shoulders,,,,,
MSFT_20250512_120,double_bottom,,,,,
MSFT_20250512_120,inv_head_and_shoulders,,,,,
MSFT_20250519_120,rising_wedge,,,,,
MSFT_20250519_120,double_bottom,,,,,
MSFT_20250519_120,inv_head_and_shoulders,,,,,
MSFT_20250527_120,rising_wedge,,,,,
MSFT_20250527_120,double_bottom,,,,,
MSFT_20250527_120,inv_head_and_shoulders,,,,,
MSFT_20250527_120,bear_flag,,,,,
MSFT_20250603_120,rising_wedge,,,,,
MSFT_20250603_120,double_bottom,,,,,
MSFT_20250603_120,inv_head_and_shoulders,,,,,
MSFT_20250610_120,rising_wedge,,,,,
MSFT_20250610_120,double_bottom,,,,,
MSFT_20250610_120,inv_head_and_shoulders,,,,,
MSFT_20250617_120,rising_wedge,,,,,
MSFT_20250617_120,double_bottom,,,,,
MSFT_20250617_120,inv_head_and_shoulders,,,,,
MSFT_20250625_120,rising_wedge,,,,,
MSFT_20250625_120,double_bottom,,,,,
MSFT_20250625_120,inv_head_and_shoulders,,,,,
MSFT_20250702_120,rising_wedge,,,,,
MSFT_20250702_120,inv_head_and_shoulders,,,,,
MSFT_20250710_120,inv_head_and_shoulders,,,,,
MSFT_20250717_120,inv_head_and_shoulders,,,,,
MSFT_20250724_120,inv_head_and_shoulders,,,,,
MSFT_20250731_120,inv_head_and_shoulders,,,,,
MSFT_20250807_120,inv_head_and_shoulders,,,,,
MSFT_20250814_120,inv_head_and_shoulders,,,,,
MSFT_20250821_120,head_and_shoulders,,,,,
MSFT_20250821_120,inv_head_and_shoulders,,,,,
MSFT_20250828_120,head_and_shoulders,,,,,
MSFT_20250905_120,bull_flag,,,,,
MSFT_20250905_120,head_and_shoulders,,,,,
MSFT_20250912_120,head_and_shoulders,,,,,
MSFT_20250919_120,head_and_shoulders,,,,,
MSFT_20250926_120,falling_wedge,,,,,
MSFT_20250926_120,head_and_shoulders,,,,,
MSFT_20251003_120,falling_wedge,,,,,
MSFT_20251003_120,head_and_shoulders,,,,,
MSFT_20251003_120,inv_head_and_shoulders,,,,,
MSFT_20251010_120,head_and_shoulders,,,,,
MSFT_20251010_120,bear_flag,,,,,
MSFT_20251010_120,inv_head_and_shoulders,,,,,
MSFT_20251017_120,head_and_shoulders,,,,,
MSFT_20251017_120,inv_head_and_shoulders,,,,,
MSFT_20251024_120,head_and_shoulders,,,,,
MSFT_20251024_120,inv_head_and_shoulders,,,,,
MSFT_20251031_120,head_and_shoulders,,,,,
MSFT_20251031_120,inv_head_and_shoulders,,,,,
MSFT_20251107_120,head_and_shoulders,,,,,
MSFT_20251107_120,inv_head_and_shoulders,,,,,
MSFT_20251114_120,head_and_shoulders,,,,,
MSFT_20251114_120,inv_head_and_shoulders,,,,,
MSFT_20251121_120,double_top,,,,,
MSFT_20251121_120,head_and_shoulders,,,,,
MSFT_20251121_120,inv_head_and_shoulders,,,,,
MSFT_20251201_120,double_top,,,,,
MSFT_20251201_120,head_and_shoulders,,,,,
MSFT_20251201_120,bull_flag,,,,,
MSFT_20251201_120,inv_head_and_shoulders,,,,,
MSFT_20251208_120,double_top,,,,,
MSFT_20251208_120,head_and_shoulders,,,,,
MSFT_20251208_120,inv_head_and_shoulders,,,,,
MSFT_20251215_120,head_and_shoulders,,,,,
MSFT_20251215_120,inv_head_and_shoulders,,,,,
MSFT_20251222_120,head_and_shoulders,,,,,
MSFT_20251222_120,falling_wedge,,,,,
MSFT_20251222_120,inv_head_and_shoulders,,,,,
MSFT_20251230_120,falling_wedge,,,,,
MSFT_20251230_120,head_and_shoulders,,,,,
MSFT_20251230_120,inv_head_and_shoulders,,,,,
MSFT_20260107_120,falling_wedge,,,,,
MSFT_20260107_120,head_and_shoulders,,,,,
MSFT_20260107_120,inv_head_and_shoulders,,,,,
MSFT_20260114_120,falling_wedge,,,,,
MSFT_20260114_120,head_and_shoulders,,,,,
MSFT_20260114_120,inv_head_and_shoulders,,,,,
MSFT_20260122_120,falling_wedge,,,,,
MSFT_20260122_120,head_and_shoulders,,,,,
MSFT_20260122_120,inv_head_and_shoulders,,,,,
MSFT_20260129_120,head_and_shoulders,,,,,
MSFT_20260129_120,inv_head_and_shoulders,,,,,
MSFT_20260205_120,double_top,,,,,
MSFT_20260205_120,head_and_shoulders,,,,,
MSFT_20260205_120,inv_head_and_shoulders,,,,,
MSFT_20260212_120,double_top,,,,,
MSFT_20260212_120,head_and_shoulders,,,,,
MSFT_20260212_120,inv_head_and_shoulders,,,,,
MSFT_20260220_120,double_top,,,,,
MSFT_20260220_120,head_and_shoulders,,,,,
MSFT_20260220_120,inv_head_and_shoulders,,,,,
NVDA_20250228_120,double_top,,,,,
NVDA_20250228_120,head_and_shoulders,,,,,
NVDA_20250228_120,inv_head_and_shoulders,,,,,
NVDA_20250307_120,double_top,,,,,
NVDA_20250307_120,head_and_shoulders,,,,,
NVDA_20250307_120,inv_head_and_shoulders,,,,,
NVDA_20250314_120,double_top,,,,,
NVDA_20250314_120,head_and_shoulders,,,,,
NVDA_20250314_120,bull_flag,,,,,
NVDA_20250314_120,inv_head_and_shoulders,,,,,
NVDA_20250321_120,double_top,,,,,
NVDA_20250321_120,head_and_shoulders,,,,,
NVDA_20250321_120,inv_head_and_shoulders,,,,,
NVDA_20250328_120,falling_wedge,,,,,
NVDA_20250328_120,double_top,,,,,
NVDA_20250328_120,inv_head_and_shoulders,,,,,
NVDA_20250404_120,double_top,,,,,
NVDA_20250404_120,inv_head_and_shoulders,,,,,
NVDA_20250404_120,falling_wedge,,,,,
NVDA_20250411_120,double_top,,,,,
NVDA_20250411_120,inv_head_and_shoulders,,,,,
NVDA_20250421_120,double_top,,,,,
NVDA_20250421_120,inv_head_and_shoulders,,,,,
NVDA_20250428_120,falling_wedge,,,,,
NVDA_20250428_120,double_top,,,,,
NVDA_20250428_120,inv_head_and_shoulders,,,,,
NVDA_20250505_120,falling_wedge,,,,,
NVDA_20250505_120,inv_head_and_shoulders,,,,,
NVDA_20250505_120,double_top,,,,,
NVDA_20250512_120,falling_wedge,,,,,
NVDA_20250512_120,inv_head_and_shoulders,,,,,
NVDA_20250512_120,double_top,,,,,
NVDA_20250519_120,rising_wedge,,,,,
NVDA_20250527_120,rising_wedge,,,,,
NVDA_20250527_120,bear_flag,,,,,
NVDA_20250603_120,rising_wedge,,,,,
NVDA_20250603_120,inv_head_and_shoulders,,,,,
NVDA_20250610_120,rising_wedge,,,,,
NVDA_20250610_120,inv_head_and_shoulders,,,,,
NVDA_20250617_120,rising_wedge,,,,,
NVDA_20250617_120,inv_head_and_shoulders,,,,,
NVDA_20250625_120,inv_head_and_shoulders,,,,,
NVDA_20250710_120,rising_wedge,,,,,
NVDA_20250717_120,rising_wedge,,,,,
NVDA_20250821_120,rising_wedge,,,,,
NVDA_20250905_120,double_top,,,,,
NVDA_20250905_120,bull_flag,,,,,
NVDA_20250926_120,inv_head_and_shoulders,,,,,
NVDA_20251003_120,double_bottom,,,,,
NVDA_20251003_120,inv_head_and_shoulders,,,,,
NVDA_20251003_120,bear_flag,,,,,
NVDA_20251010_120,inv_head_and_shoulders,,,,,
NVDA_20251017_120,inv_head_and_shoulders,,,,,
NVDA_20251024_120,double_bottom,,,,,
NVDA_20251024_120,inv_head_and_shoulders,,,,,
NVDA_20251024_120,rising_wedge,,,,,
NVDA_20251031_120,double_bottom,,,,,
NVDA_20251031_120,inv_head_and_shoulders,,,,,
NVDA_20251107_120,double_bottom,,,,,
NVDA_20251107_120,inv_head_and_shoulders,,,,,
NVDA_20251114_120,double_bottom,,,,,
NVDA_20251114_120,inv_head_and_shoulders,,,,,
NVDA_20251121_120,inv_head_and_shoulders,,,,,
NVDA_20251201_120,head_and_shoulders,,,,,
NVDA_20251201_120,bull_flag,,,,,
NVDA_20251201_120,inv_head_and_shoulders,,,,,
NVDA_20251208_120,head_and_shoulders,,,,,
NVDA_20251208_120,double_bottom,,,,,
NVDA_20251208_120,inv_head_and_shoulders,,,,,
NVDA_20251215_120,double_top,,,,,
NVDA_20251215_120,head_and_shoulders,,,,,
NVDA_20251215_120,inv_head_and_shoulders,,,,,
NVDA_20251222_120,falling_wedge,,,,,
NVDA_20251222_120,head_and_shoulders,,,,,
NVDA_20251222_120,inv_head_and_shoulders,,,,,
NVDA_20251230_120,falling_wedge,,,,,
NVDA_20251230_120,head_and_shoulders,,,,,
NVDA_20251230_120,inv_head_and_shoulders,,,,,
NVDA_20260107_120,falling_wedge,,,,,
NVDA_20260107_120,double_bottom,,,,,
NVDA_20260107_120,head_and_shoulders,,,,,
NVDA_20260107_120,inv_head_and_shoulders,,,,,
NVDA_20260114_120,head_and_shoulders,,,,,
NVDA_20260114_120,inv_head_and_shoulders,,,,,
NVDA_20260122_120,rising_wedge,,,,,
NVDA_20260122_120,head_and_shoulders,,,,,
NVDA_20260122_120,inv_head_and_shoulders,,,,,
NVDA_20260129_120,rising_wedge,,,,,
NVDA_20260129_120,double_bottom,,,,,
NVDA_20260129_120,head_and_shoulders,,,,,
NVDA_20260129_120,inv_head_and_shoulders,,,,,
NVDA_20260205_120,double_top,,,,,
NVDA_20260205_120,head_and_shoulders,,,,,
NVDA_20260205_120,inv_head_and_shoulders,,,,,
NVDA_20260212_120,head_and_shoulders,,,,,
NVDA_20260212_120,inv_head_and_shoulders,,,,,
NVDA_20260220_120,head_and_shoulders,,,,,
NVDA_20260220_120,double_bottom,,,,,
NVDA_20260220_120,inv_head_and_shoulders,,,,,
SPY_20250228_120,inv_head_and_shoulders,,,,,
SPY_20250228_120,rising_wedge,,,,,
SPY_20250307_120,rising_wedge,,,,,
SPY_20250307_120,inv_head_and_shoulders,,,,,
SPY_20250314_120,inv_head_and_shoulders,,,,,
SPY_20250321_120,inv_head_and_shoulders,,,,,
SPY_20250321_120,bull_flag,,,,,
SPY_20250328_120,inv_head_and_shoulders,,,,,
SPY_20250404_120,inv_head_and_shoulders,,,,,
SPY_20250411_120,inv_head_and_shoulders,,,,,
SPY_20250421_120,inv_head_and_shoulders,,,,,
SPY_20250428_120,inv_head_and_shoulders,,,,,
SPY_20250505_120,falling_wedge,,,,,
SPY_20250505_120,inv_head_and_shoulders,,,,,
SPY_20250512_120,inv_head_and_shoulders,,,,,
SPY_20250519_120,rising_wedge,,,,,
SPY_20250519_120,inv_head_and_shoulders,,,,,
SPY_20250527_120,rising_wedge,,,,,
SPY_20250527_120,inv_head_and_shoulders,,,,,
SPY_20250603_120,rising_wedge,,,,,
SPY_20250603_120,inv_head_and_shoulders,,,,,
SPY_20250610_120,rising_wedge,,,,,
SPY_20250610_120,inv_head_and_shoulders,,,,,
SPY_20250617_120,rising_wedge,,,,,
SPY_20250617_120,inv_head_and_shoulders,,,,,
SPY_20250625_120,rising_wedge,,,,,
SPY_20250625_120,inv_head_and_shoulders,,,,,
SPY_20250702_120,rising_wedge,,,,,
SPY_20250702_120,inv_head_and_shoulders,,,,,
SPY_20250702_120,bear_flag,,,,,
SPY_20250710_120,rising_wedge,,,,,
SPY_20250710_120,inv_head_and_shoulders,,,,,
SPY_20250717_120,rising_wedge,,,,,
SPY_20250717_120,inv_head_and_shoulders,,,,,
SPY_20250724_120,rising_wedge,,,,,
SPY_20250724_120,inv_head_and_shoulders,,,,,
SPY_20250724_120,bear_flag,,,,,
SPY_20250731_120,rising_wedge,,,,,
SPY_20250731_120,inv_head_and_shoulders,,,,,
SPY_20250807_120,inv_head_and_shoulders,,,,,
SPY_20250814_120,inv_head_and_shoulders,,,,,
SPY_20250821_120,rising_wedge,,,,,
SPY_20250821_120,inv_head_and_shoulders,,,,,
SPY_20250919_120,rising_wedge,,,,,
SPY_20250926_120,rising_wedge,,,,,
SPY_20251003_120,rising_wedge,,,,,
SPY_20251010_120,rising_wedge,,,,,
SPY_20251230_120,rising_wedge,,,,,
SPY_20260107_120,rising_wedge,,,,,
SPY_20260114_120,rising_wedge,,,,,
